dataset,feature_strategy,k,classifier,accuracy,precision,recall,f1
sms_spam,all,7592,logistic_regression,0.9695067264573991,0.9914529914529915,0.7785234899328859,0.8721804511278195
sms_spam,all,7592,linear_svm,0.9865470852017937,0.9926470588235294,0.9060402684563759,0.9473684210526315
sms_spam,all,7592,multinomial_nb,0.9695067264573991,1.0,0.7718120805369127,0.8712121212121212
sms_spam,all,7592,simple_centroid,0.9704035874439462,0.8580246913580247,0.9328859060402684,0.8938906752411575
sms_spam,chi_square,500,logistic_regression,0.95695067264574,0.9809523809523809,0.6912751677852349,0.8110236220472441
sms_spam,chi_square,500,linear_svm,0.9739910313901345,0.96875,0.8322147651006712,0.8953068592057761
sms_spam,chi_square,500,multinomial_nb,0.8771300448430494,1.0,0.08053691275167785,0.14906832298136646
sms_spam,chi_square,500,simple_centroid,0.9479820627802691,0.76,0.8926174496644296,0.8209876543209876
sms_spam,mutual_information,500,logistic_regression,0.9560538116591928,0.9901960784313726,0.6778523489932886,0.8047808764940239
sms_spam,mutual_information,500,linear_svm,0.9757847533632287,0.9765625,0.8389261744966443,0.9025270758122743
sms_spam,mutual_information,500,multinomial_nb,0.9094170403587444,1.0,0.3221476510067114,0.4873096446700508
sms_spam,mutual_information,500,simple_centroid,0.9614349775784753,0.8154761904761905,0.9194630872483222,0.8643533123028391
sms_spam,chi_square,1000,logistic_regression,0.9587443946188341,0.9904761904761905,0.697986577181208,0.8188976377952756
sms_spam,chi_square,1000,linear_svm,0.9811659192825112,0.9923076923076923,0.8657718120805369,0.9247311827956989
sms_spam,chi_square,1000,multinomial_nb,0.895067264573991,1.0,0.21476510067114093,0.35359116022099446
sms_spam,chi_square,1000,simple_centroid,0.95695067264574,0.7885714285714286,0.9261744966442953,0.8518518518518519
sms_spam,mutual_information,1000,logistic_regression,0.9605381165919282,0.9906542056074766,0.7114093959731543,0.828125
sms_spam,mutual_information,1000,linear_svm,0.9811659192825112,0.9923076923076923,0.8657718120805369,0.9247311827956989
sms_spam,mutual_information,1000,multinomial_nb,0.9372197309417041,1.0,0.5302013422818792,0.6929824561403509
sms_spam,mutual_information,1000,simple_centroid,0.968609865470852,0.8518518518518519,0.9261744966442953,0.887459807073955
